Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
53317913,Rage,Bob Woodward,"Woodward, Bob",,198213173X,9781982131739,2,4.35,Simon & Schuster,Hardcover,475,2020,2020,2020/09/18,2020/09/18,,,read,not great,TRUE,,1,,,0,,,,,
134798,"Capitalism, Socialism and Democracy",Joseph Schumpeter,"Schumpeter, Joseph",,0415107628,9780415107624,0,4.03,Routledge,Paperback,460,2006,1942,,2020/07/26,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
44638856,James Madison: A Biography,Ralph Louis Ketcham,"Ketcham, Ralph Louis",,,,0,3.97,,Paperback,753,1990,1971,,2020/07/25,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
32603800,Alexander Hamilton,Ron Chernow,"Chernow, Ron",,0143034758,9780143034759,4,4.21,Penguin Books,Paperback,731,2016,2004,2020/07/25,2020/06/12,,,read,,,,1,,,0,,,,,
10683230,Washington: A Life,Ron Chernow,"Chernow, Ron",,0143119966,9780143119968,5,4.10,Penguin,Paperback,904,2011,2010,2020/06/09,2020/05/13,,,read,Enjoyed this book,,,1,,,0,,,,,
758739,"The Age of Federalism: The Early American Republic, 1788-1800",Stanley Elkins,"Elkins, Stanley",Eric L. McKitrick,019509381X,9780195093810,0,4.12,"Oxford University Press, USA",Paperback,944,1995,1993,,2020/05/18,"to-read, owned","to-read (#100), owned (#47)",to-read,,,,0,,,0,,,,,
34347432,Friends Divided: John Adams and Thomas Jefferson,Gordon S. Wood,"Wood, Gordon S.",,0735224714,9780735224711,4,4.11,Penguin Press,Hardcover,512,2017,2017,2020/05/12,2020/05/10,,,read,,,,1,,,0,,,,,
2203,John Adams,David McCullough,"McCullough, David",,0743223136,9780743223133,5,4.06,Simon & Schuster Paperbacks,Paperback,751,2001,2001,2020/05/01,2020/04/12,,,read,Great Bio!,,,1,,,0,,,,,
13533740,Thomas Jefferson: The Art of Power,Jon Meacham,"Meacham, Jon",,1400067669,9781400067664,4,4.01,Random House,Hardcover,759,2012,2012,2020/04/12,2020/04/03,,,read,,,,1,,,0,,,,,
50849430,Capital and Ideology,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,0674980824,9780674980822,0,4.28,Belknap Press,Hardcover,1104,2020,2019,,2020/03/23,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
29993,The Visible Hand: The Managerial Revolution in American Business,Alfred D. Chandler Jr.,"Jr., Alfred D. Chandler",,0674940520,9780674940529,0,4.03,Belknap Press,Paperback,624,1977,1977,,2020/03/18,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
